Product Name;Lighting Type;Space Type;ATEX Certified;Power (W);Lumen Output;Image URL;Product Link
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9401A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4321x1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;104 W;12500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4011LED2W120S
Minimalistic design emergency luminaire for single- and double sided signage. Perpendicular to wall mounting.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK96 - K9R signalering Frankrijk/SK9604A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r541-230-fx1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;140 W;20350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED4N160DE
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;26 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP36X1.jpg;https://www.etaplighting.com/en/series/R7/R751R1LEDW3635DX1
Emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Industry;;3 W;320 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1010 - Fresnellens/SK1010A2.jpg;https://www.etaplighting.com/en/series/K1-light/k113n-230
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;140 W;20350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED4N160D
Emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Industry;;3 W;275 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1010 - Fresnellens/SK1010A2.jpg;https://www.etaplighting.com/en/series/K1-light/k1153s2
Minimalistic design round emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9104A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r223n-230x1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;104 W;12950 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4102A1.jpg;https://www.etaplighting.com/en/series/E4/E4410LED2W120S
IP65 emergency luminaire for anti-panic lighting. Surface mounted. ;Emergency escape lighting;Schools;;3 W;288 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2223
Softlight with 100% indirect lighting.;Recessed luminaires;Schools;;32 W;3750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/US3 (SUS)/SUS1006A3.jpg;https://www.etaplighting.com/en/series/US3/US3140LEDN35D
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;34 W;4550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7SP36X1.jpg;https://www.etaplighting.com/en/series/R7/R739R1LEDW3645SX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;19 W;2600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A8.jpg;https://www.etaplighting.com/en/series/R7/R730R1LEDW2425DX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;21 W;2600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F9.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDN2425DEX1
IP65 emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Schools;;3 W;275 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2133o
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;101 W;13000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104B3.jpg;https://www.etaplighting.com/en/series/E4/E4415LED4N120D
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;99 W;13200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4102A1.jpg;https://www.etaplighting.com/en/series/E4/E4610LED2N120DE
Minimalistic design round emergency luminaire for escape route lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9105A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2133x2s2
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;29 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDW3635DEX1
Downlight with LED+LENS technology.;Downlights;Offices;;17 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D4 (SD4)/SD4001A1.jpg;https://www.etaplighting.com/en/series/D4/D42R1LEDW1820S
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;27 W;3600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP24X1.jpg;https://www.etaplighting.com/en/series/R7/R731R1LEDN2435SX1
Round emergency luminaire for escape route lighting. Recessed mounting. ;Emergency escape lighting;Schools;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1112A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r2153
Architectural spot light.;Spots;Toilets,Offices;;8 W;925 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Flare (SFL)/SFL001B6.jpg;https://www.etaplighting.com/en/series/Flare/FLARE-21LEDW10S
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;25 W;3950 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A8.jpg;https://www.etaplighting.com/en/series/R3/R3318LEDW440DX1
Minimalistic design round emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9104A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2233x1s2
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;6 W;500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK92 - K9R ambiance Frankrijk/SK9200A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1136-fx2
Softlight with 100% indirect lighting.;Recessed luminaires;Schools;;34 W;3750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/US3 (SUS)/SUS1005A2.jpg;https://www.etaplighting.com/en/series/US3/US3141LEDW40S
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/K9R14X1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r141-230x1
Square emergency luminaire for anti-panic lighting. Surface mounted.;Emergency escape lighting;Schools;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1101A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1233s2
Minimalistic design square emergency luminaire for escape route lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9103A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r3153x2s2
Architectural spot light.;Spots;Toilets,Offices;;7 W;740 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Flare (SFL)/SFL001B1.jpg;https://www.etaplighting.com/en/series/Flare/FLARE-11LEDW6S
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;25 W;3500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7SP36X1.jpg;https://www.etaplighting.com/en/series/R7/R729R1LEDN3635SX1
Minimalistic design square emergency luminaire for anti-panic lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9100A2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1223x1s2
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;51 W;6650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A3.jpg;https://www.etaplighting.com/en/series/E2-Atex/E22LED4N060S3-ATEX1
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;19 W;3000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A8.jpg;https://www.etaplighting.com/en/series/R3/R3118LEDN430DX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;20 W;2600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A8.jpg;https://www.etaplighting.com/en/series/R7/R720R1LEDN2425SX1
IP65 emergency luminaire for anti-panic lighting. Surface mounted. ;Emergency escape lighting;Schools;;3 W;288 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2223s4
Minimalistic design square emergency luminaire for escape route lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9103A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r3133x2s2
Minimalistic design round emergency luminaire for escape route lighting. Recessed mounted. C0:C90 value of this luminaire: D800:A25.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9105A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2123-ax2-d800a25
Renovation module to led for ETAP K8 fluo emergency lighting;Renovation modules emergency lighting;;;3 W;243 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K8 (SK8)/SK8003a.jpg;https://www.etaplighting.com/en/series/K-renovation-module/k8m13
Architectural spot light.;Spots;Toilets,Offices;;8 W;905 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Flare (SFL)/SFL001B6.jpg;https://www.etaplighting.com/en/series/Flare/FLARE-21LEDW10D
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;24 W;3100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F9.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDN2430SX1
Emergency luminaire for single- or double-sided signage. Surface mounted. ;Emergency signage;Schools;;1 W;250 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1201F3.jpg;https://www.etaplighting.com/en/series/K1R-picto/k1r1421l3s4
Minimalistic design round emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9107A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2653x1s2
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;77 W;9800 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4100A1.jpg;https://www.etaplighting.com/en/series/E4/E4210LED15W090D
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9102A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1153x2
IP65 emergency luminaire for anti-panic lighting. Surface mounted. ;Emergency escape lighting;Schools;;3 W;212 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2223s2
IP65 emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;3 W;330 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2010B1.jpg;https://www.etaplighting.com/en/series/K2-light/k263-230
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;212 W;26350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED4W240DE
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK96 - K9R signalering Frankrijk/SK9601A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4321-fx1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;52 W;6350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4411LED1W060D
IP65 emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Schools;;6 W;510 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_highlumenoutput.jpg;https://www.etaplighting.com/en/series/K2-light/k2136o
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9102A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r113n-230x2
Minimalistic design square emergency luminaire for escape route lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9103A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r3133x2
Emergency luminaire for single- or double-sided signage. Surface mounted. ;Emergency signage;Schools;;1 W;90 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A2.jpg;https://www.etaplighting.com/en/series/K1R-picto/k1r1431-a
Minimalistic design square emergency luminaire for anti-panic lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9100A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1223x2s2
Emergency luminaire for single- or double-sided signage. Surface mounted. ;Emergency signage;Schools;;1 W;90 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A2.jpg;https://www.etaplighting.com/en/series/K1R-picto/k1r1421s2
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;27 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDW3635SX1
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;29 W;4200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A8.jpg;https://www.etaplighting.com/en/series/R3/R3118LEDW440DX1
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;39 W;5000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A1.jpg;https://www.etaplighting.com/en/series/E2-Atex/E22LED3N045S-ATEX1
IP65 emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;3 W;330 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2010B1.jpg;https://www.etaplighting.com/en/series/K2-light/k2623
IP65 emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Schools;;6 W;510 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_highlumenoutput.jpg;https://www.etaplighting.com/en/series/K2-light/k2126s4
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;33 W;4650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A9.jpg;https://www.etaplighting.com/en/series/R7/R730R1LEDN3645DX1
